UserId,SessionId,ArticleId_served,rating
1,1,1424,4
1,1,680,5
1,1,3683,3
1,1,4517,4
1,1,134,5
1,1,4318,3
1,1,3537,5
1,1,1179,3
1,1,410,5
1,1,2928,5
2,1,4603,4
2,1,650,1
2,1,3277,3
2,1,4108,1
2,1,3067,4
2,1,2186,4
2,1,2359,2
2,1,789,1
2,1,4829,4
2,1,1563,4
2,2,3464,2
2,2,158,5
2,2,1778,1
2,2,1707,2
2,2,3541,2
2,2,2503,5
2,2,284,2
2,2,2871,5
2,2,2187,2
2,2,2333,3
3,1,106,4
3,1,3260,3
3,1,570,5
3,1,742,3
3,1,1977,3
3,1,306,1
3,1,3124,5
3,1,744,3
3,1,1627,1
3,1,1826,2
3,2,3742,3
3,2,3069,5
3,2,317,3
3,2,760,4
3,2,2083,5
3,2,2972,2
3,2,1790,5
3,2,4463,2
3,2,2351,1
3,2,4700,5
4,1,3582,2
4,1,3759,2
4,1,1490,3
4,1,1760,1
4,1,4811,3
4,1,4195,2
4,1,1946,2
4,1,3013,3
4,1,1336,2
4,1,603,5
4,2,3381,1
4,2,2273,1
4,2,301,2
4,2,3498,1
4,2,4501,2
4,2,4209,5
4,2,831,2
4,2,4588,3
4,2,4517,4
4,2,803,1
4,3,1684,5
4,3,2077,1
4,3,1365,1
4,3,1411,4
4,3,3531,2
4,3,4069,3
4,3,510,4
4,3,1606,2
4,3,3742,3
4,3,3431,3
4,4,1665,5
4,4,4484,4
4,4,4467,5
4,4,940,1
4,4,643,1
4,4,1417,4
4,4,3689,5
4,4,4698,1
4,4,4466,1
4,4,1235,4
5,1,2209,4
5,1,4015,2
5,1,2414,2
5,1,819,1
5,1,2188,5
5,1,3381,1
5,1,1926,3
5,1,2130,5
5,1,2362,2
5,1,1533,3
5,2,3113,2
5,2,195,1
5,2,3291,3
5,2,4754,5
5,2,3196,2
5,2,1128,1
5,2,1390,3
5,2,3534,4
5,2,3421,3
5,2,297,1
5,3,2632,3
5,3,119,5
5,3,1998,4
5,3,681,3
5,3,1186,3
5,3,4787,3
5,3,3539,3
5,3,3724,1
5,3,4028,5
5,3,2384,3
5,4,2958,4
5,4,2366,3
5,4,4741,1
5,4,1431,1
5,4,4720,2
5,4,3722,4
5,4,3221,3
